employeeNumber,employeeFirm_Name,lastName,firstName,email,officeCode,employee_workload,jobTitle,salary
1001,PwC,Smith,Daniel,dsmith@pwc.com,OF-PWC-01,45,Chef_Manager,145000
1002,PwC,Walker,Emma,ewalker@pwc.com,OF-PWC-01,40,Financial_Risk_Repr,98000
1003,PwC,Hughes,Oliver,ohughes@pwc.com,OF-PWC-01,38,Financial_Fraud_Repr,92000
1004,Deloitte,Johnson,Lucas,ljohnson@deloitte.com,OF-DEL-01,46,Chef_Manager,150000
1005,Deloitte,Brown,Sophia,sbrown@deloitte.com,OF-DEL-01,48,Financial_Risk_Repr,99000
1006,Deloitte,Lee,Kevin,klee@deloitte.com,OF-DEL-02,35,Financial_Fraud_Repr,91000
1007,Deloitte,Wong,Michelle,mwong@deloitte.com,OF-DEL-02,37,Financial_Fraud_Repr,90500
1008,Ernst & Young,Meyer,Jonas,jmeyer@ey.com,OF-EY-01,42,Chef_Manager,148000
1009,Ernst & Young,Keller,Anna,akeller@ey.com,OF-EY-01,37,Financial_Risk_Repr,96000
1010,Ernst & Young,Fischer,Paul,pfischer@ey.com,OF-EY-01,50,Financial_Risk_Repr,95500
1011,Ernst & Young,Schmidt,Lara,lschmidt@ey.com,OF-EY-01,35,Financial_Fraud_Repr,91000
1012,KPMG,Visser,Tom,tvisser@kpmg.com,OF-KPMG-01,42,Chef_Manager,147000
1013,KPMG,DeVries,Eva,edevries@kpmg.com,OF-KPMG-01,38,Financial_Risk_Repr,97000
1014,KPMG,Bakker,Noah,nbakker@kpmg.com,OF-KPMG-01,32,Financial_Risk_Repr,96000
1015,KPMG,Jansen,Mila,mjansen@kpmg.com,OF-KPMG-01,40,Financial_Fraud_Repr,90000
1016,KPMG,Smit,Daan,dsmit@kpmg.com,OF-KPMG-01,40,Financial_Fraud_Repr,90500
